Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
toluene;toluene;CC1=CC=CC=C1;CC1=CC=CC=C1;-5.12
acetone;chloroform;CC(=O)C;C(Cl)(Cl)Cl;-4.42
N-methylaniline;carbontet;CNC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-6.58
1-bromobutane;hexadecane;CCCCBr;CCCCCCCCCCCCCCCC;-4.24
1-hexanol;benzene;CCCCCCO;C1=CC=CC=C1;-6.13
2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide(alachlor);water;CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl;O;-8.2
1-pentanol;dichloroethane;CCCCCO;CC(Cl)Cl;-5.45
methane;water;C;O;2.0
ethylamine;xylene;CCN;CC1=CC=C(C=C1)C;-3.01
triethylphosphate;heptane;CCOP(=O)(OCC)OCC;CCCCCCC;-6.67
1-propanol;butylacetate;CCCO;CCCCCC(=O)[O-];-4.52
thiophenol;methylenechloride;C1=CC=C(C=C1)S;C(Cl)Cl;-7.11
2-methyl-1-nitrobenzene;onitrotoluene;CC1=CC=CC=C1[N+](=O)[O-];CC1=CC=CC=C1[N+](=O)[O-];-8.04
nitromethane;propanol;C[N+](=O)[O-];CCCO;-4.04
aceticacid;hexane;CC(=O)O;CCCCCC;-2.83
benzene;water;C1=CC=CC=C1;O;-0.87
butylacetate;secbutylbenzene;CCCCCC(=O)[O-];CCC(C)C1=CC=CC=C1;-5.22
methylparaben;octanol;COC(=O)C1=CC=C(C=C1)O;CCCCCCCCO;-12.18
nitromethane;phenylether;C[N+](=O)[O-];C1=CC=C(C=C1)OC2=CC=CC=C2;-4.19
cyclohexane;benzene;C1CCCCC1;C1=CC=CC=C1;-4.05
1-pentanol;heptane;CCCCCO;CCCCCCC;-4.09
hydrogenperoxide;butylacetate;OO;CCCCCC(=O)[O-];-6.76
p-bromophenol;dibromoethane;C1=CC(=CC=C1O)Br;CC(Br)Br;-9.01
pentylacetate;decalin;CCCCCOC(=O)C;C1CCC2CCCCC2C1;-5.44
uracil;octanol;C1=CNC(=O)NC1=O;CCCCCCCCO;-15.13
1-pentanol;bromobenzene;CCCCCO;C1=CC=C(C=C1)Br;-5.06
1-hexanol;hexanol;CCCCCCO;CCCCCCO;-7.05
cyclopentene;water;C1CC=CC1;O;0.56
isopropanol;diethylether;CC(C)O;CCOCC;-4.44
1-butanol;bromoform;CCCCO;C(Br)(Br)Br;-4.72
m-cresol;butylacetate;CC1=CC(=CC=C1)O;CCCCCC(=O)[O-];-8.44
p-cresol;iodobenzene;CC1=CC=C(C=C1)O;C1=CC=C(C=C1)I;-7.01
toluene;carbontet;CC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.12
p-cresol;water;CC1=CC=C(C=C1)O;O;-6.14
fluorobenzene;decane;C1=CC=C(C=C1)F;CCCCCCCCCC;-3.48
s-trans-1,3-butadiene;hexadecane;C=CC=C;CCCCCCCCCCCCCCCC;-2.1
ethyl4-cyanophenylphenylthiophosphonate;octanol;CC1=CC(=O)CC(C1)(C)C;CCCCCCCCO;-11.06
hexanoicacid;xylene;CCCCCC(=O)O;CC1=CC=C(C=C1)C;-6.67
2-bromopropane;hexadecane;CC(C)Br;CCCCCCCCCCCCCCCC;-3.26
ethanol;dimethylformamide;CCO;CN(C)C=O;-5.23
1-pentanol;chlorobenzene;CCCCCO;C1=CC=C(C=C1)Cl;-5.25
propylamine;chloroform;CCCN;C(Cl)(Cl)Cl;-4.73
2-methyl-2-(methylthio)propanalO-(N-methylcarbamoyl)oxime(aldicarb);water;CC(C)(C=NOC(=O)NC)SC;O;-9.8
toluene;2methylpyridine;CC1=CC=CC=C1;CC1=CC=CC=N1;-5.06
thioanisole;cyclohexane;CSC1=CC=CC=C1;C1CCCCC1;-5.66
2-methylpyridine;benzene;CC1=CC=CC=N1;C1=CC=CC=C1;-5.86
tripropylphosphate;cyclohexane;CCCOP(=O)(OCCC)OCCC;C1CCCCC1;-7.71
1-chloropropane;octanol;CCCCl;CCCCCCCCO;-3.06
methylpropanoate;decalin;CCC(=O)OC;C1CCC2CCCCC2C1;-3.5
1,4-dichlorobenzene;water;C1=CC(=CC=C1Cl)Cl;O;-1.01
3-methylpyridine;cyclohexane;CC1=CN=CC=C1;C1CCCCC1;-5.14
n-octane;decane;CCCCCCCC;CCCCCCCCCC;-5.18
1,4-dioxane;bromoethane;C1COCCO1;CCBr;-5.39
p-bromophenol;water;C1=CC(=CC=C1O)Br;O;-7.13
n-nonane;nonane;CCCCCCCCC;CCCCCCCCC;-5.91
toluene;pyridine;CC1=CC=CC=C1;C1=CC=NC=C1;-5.1
nitromethane;carbontet;C[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-3.52
1-octanol;ethylacetate;CCCCCCCCO;CCOC(=O)C;-8.41
1-hexyne;hexadecane;CCCCC#C;CCCCCCCCCCCCCCCC;-3.42
toluene;aniline;CC1=CC=CC=C1;C1=CC=C(C=C1)N;-4.57
cyclohexane;cyclohexane;C1CCCCC1;C1CCCCC1;-4.43
acetophenone;chloroform;CC(=O)C1=CC=CC=C1;C(Cl)(Cl)Cl;-7.81
butylacetate;hexane;CCCCCC(=O)[O-];CCCCCC;-4.86
chlorobenzene;hexadecane;C1=CC=C(C=C1)Cl;CCCCCCCCCCCCCCCC;-4.99
1-butanol;bromobenzene;CCCCO;C1=CC=C(C=C1)Br;-4.08
tetramethylsilane;water;C[Si](C)(C)C;O;3.04
difluorodichloromethane;chloroform;C(F)(F)(Cl)Cl;C(Cl)(Cl)Cl;-1.55
nitrobenzene;chloroform;C1=CC=C(C=C1)[N+](=O)[O-];C(Cl)(Cl)Cl;-7.78
methylpropanoate;isopropylbenzene;CCC(=O)OC;CC(C)C1=CC=CC=C1;-4.19
N-methylformamide;methylformamide;CNC=O;CNC=O;-8.27
1,1,1-trichloroethane;cyclohexane;CC(Cl)(Cl)Cl;C1CCCCC1;-4.08
1,4-dioxane;fluorobenzene;C1COCCO1;C1=CC=C(C=C1)F;-5.18
1,1,1-trifluoropropan-2-ol;water;CC(C(F)(F)F)O;O;-4.16
toluene;mcresol;CC1=CC=CC=C1;CC1=CC(=CC=C1)O;-4.58
pyridine;xylene;C1=CC=NC=C1;CC1=CC=C(C=C1)C;-5.12
p-bromophenol;heptanol;C1=CC(=CC=C1O)Br;CCCCCCCO;-10.49
ethanol;propanol;CCO;CCCO;-5.01
acetone;heptane;CC(=O)C;CCCCCCC;-2.61
flufenamicacid;octanol;C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F;CCCCCCCCO;-12.84
fluorobenzene;decalin;C1=CC=C(C=C1)F;C1CCC2CCCCC2C1;-3.44
n-octane;carbondisulfide;CCCCCCCC;C(=S)=S;-5.68
chlorodifluoromethane;octanol;C(F)(F)Cl;CCCCCCCCO;-1.97
ethylbenzene;carbontet;CCC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.67
phenol;nitrobenzene;C1=CC=C(C=C1)O;C1=CC=C(C=C1)[N+](=O)[O-];-7.86
propanal;diethylether;CCC=O;CCOCC;-3.85
methylcyclohexane;hexadecane;CC1CCCCC1;CCCCCCCCCCCCCCCC;-4.43
cyclopentane;water;C1CCCC1;O;1.2
p-cresol;heptane;CC1=CC=C(C=C1)O;CCCCCCC;-5.77
dimethyl4-nitrophenylthiophosphate;chloroform;CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-];C(Cl)(Cl)Cl;-9.51
naproxen;octanol;CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O;CCCCCCCCO;-14.55
2-hexanone;toluene;CCCCC(=O)C;CC1=CC=CC=C1;-5.6
phenol;chlorobenzene;C1=CC=C(C=C1)O;C1=CC=C(C=C1)Cl;-6.96
p-bromophenol;xylene;C1=CC(=CC=C1O)Br;CC1=CC=C(C=C1)C;-8.69
tetramethylsilane;hexadecane;C[Si](C)(C)C;CCCCCCCCCCCCCCCC;-2.92
propylamine;water;CCCN;O;-4.39
1-heptanol;pentane;CCCCCCCO;CCCCC;-5.62
n-hexane;octanol;CCCCCC;CCCCCCCCO;-3.01
water;water;O;O;-6.31
1,4-dioxane;tetrahydrofuran;C1COCCO1;C1CCOC1;-5.17
2,6-dimethylpyridine;dimethylpyridine;CC1=NC(=CC=C1)C;CC1=C(N=CC=C1)C;-6.04
toluene;undecane;CC1=CC=CC=C1;CCCCCCCCCCC;-4.81
acetone;decane;CC(=O)C;CCCCCCCCCC;-2.47
phenacetin;octanol;CCOC1=CC=C(C=C1)NC(=O)C;CCCCCCCCO;-13.07
2-chloropropane;octanol;CC(C)Cl;CCCCCCCCO;-2.84
diiodomethane;octanol;C(I)I;CCCCCCCCO;-5.63
methanol;hexadecane;CO;CCCCCCCCCCCCCCCC;-1.32
aniline;isooctane;C1=CC=C(C=C1)N;CC(C)CC(C)(C)C;-5.2
propylamine;octane;CCCN;CCCCCCCC;-3.0
ibuprofen(racemic);octanol;CC(C)CC1=CC=C(C=C1)C(C)C(=O)O;CCCCCCCCO;-12.42
trimethylamine;diethylether;CN(C)C;CCOCC;-2.78
toluene;methylformamide;CC1=CC=CC=C1;CNC=O;-4.34
propylamine;nonanol;CCCN;CCCCCCCCCO;-4.66
octafluoropropane;water;C(C(F)(F)F)(C(F)(F)F)(F)F;O;4.28
1,2-dimethoxyethane;hexadecane;COCCOC;CCCCCCCCCCCCCCCC;-3.63
1-fluorooctane;hexadecane;CCCCCCCCF;CCCCCCCCCCCCCCCC;-5.25
5-Bromo-3-sec-butyl-6-methyl-uracil(bromacil);water;CCC(C)N1C(=O)C(=C(NC1=O)C)Br;O;-9.7
3-methylaniline;cyclohexane;CC1=CC(=CC=C1)N;C1CCCCC1;-6.47
1-chloro-2,2,2-trifluoroethyldifluoromethylether;water;C(C(F)(F)F)(OC(F)F)Cl;O;0.11
butanoicacid;chloroform;CCCC(=O)O;C(Cl)(Cl)Cl;-5.99
2-hexanone;pentane;CCCCC(=O)C;CCCCC;-4.79
n-octane;chlorobenzene;CCCCCCCC;C1=CC=C(C=C1)Cl;-5.16
methyloctanoate;water;CCCCCCCC(=O)OC;O;-2.04
N-cyclopropylmethyl-2,6-dinitro-N-propyl-4-trifluoromethylaniline(profluralin);water;CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];O;-2.5
benzonitrile;hexadecane;C1=CC=C(C=C1)C#N;CCCCCCCCCCCCCCCC;-5.51
pentylacetate;isopropyltoluene;CCCCCOC(=O)C;CC1=CC=CC=C1C(C)C;-6.02
ethylacetate;heptane;CCOC(=O)C;CCCCCCC;-3.5
butylacetate;octanol;CCCCCC(=O)[O-];CCCCCCCCO;-4.96
chlorobenzene;chlorobenzene;C1=CC=C(C=C1)Cl;C1=CC=C(C=C1)Cl;-5.66
p-cresol;chlorobenzene;CC1=CC=C(C=C1)O;C1=CC=C(C=C1)Cl;-7.23
p-xylene;octanol;CC1=CC=C(C=C1)C;CCCCCCCCO;-5.19
acetone;tetrachloroethene;CC(=O)C;C(=C(Cl)Cl)(Cl)Cl;-3.09
butylacetate;ethylbenzene;CCCCCC(=O)[O-];CCC1=CC=CC=C1;-5.48
methylacetate;chlorohexane;CC(=O)OC;CCCCCCCl;-3.66
1,4-dioxane;tetrahydrothiophenedioxide;C1COCCO1;C1CCS(=O)(=O)C1;-4.9
2-butanone;acetonitrile;CCC(=O)C;CC#N;-4.73
butanoicacid;xylene;CCCC(=O)O;CC1=CC=C(C=C1)C;-5.3
isopropanol;chloroform;CC(C)O;C(Cl)(Cl)Cl;-4.28
trimethylorthotrifluoroacetate;water;CCCN(CCC)C(=O)SCCC;O;-0.8
n-octane;water;CCCCCCCC;O;2.89
p-bromophenol;butylacetate;C1=CC(=CC=C1O)Br;CCCCCC(=O)[O-];-10.57
hydrogenperoxide;chloroform;OO;C(Cl)(Cl)Cl;-4.7
1-pentanol;toluene;CCCCCO;CC1=CC=CC=C1;-5.17
ethylacetate;carbontet;CCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.4
toluene;octane;CC1=CC=CC=C1;CCCCCCCC;-4.82
ethanethiol;water;CCS;O;-1.3
tetrahydropyran;cyclohexane;C1CCOCC1;C1CCCCC1;-4.41
2,2,2-trifluoroethanol;octanol;C(C(F)(F)F)O;CCCCCCCCO;-4.81
p-bromophenol;onitrotoluene;C1=CC(=CC=C1O)Br;CC1=CC=CC=C1[N+](=O)[O-];-9.57
1-butene;carbontet;CCC=C;C(Cl)(Cl)(Cl)Cl;-2.48
nitroglycol;water;C(CO[N+](=O)[O-])O[N+](=O)[O-];O;-5.7
ethylamine;pentane;CCN;CCCCC;-2.18
chlorobenzene;carbontet;C1=CC=C(C=C1)Cl;C(Cl)(Cl)(Cl)Cl;-5.21
1-butanol;water;CCCCO;O;-4.72
ethylamine;chlorobenzene;CCN;C1=CC=C(C=C1)Cl;-2.73
propionitrile;water;CCC#N;O;-3.85
propylacetate;decane;CCCOC(=O)C;CCCCCCCCCC;-4.02
toluene;tetrahydrofuran;CC1=CC=CC=C1;C1CCOC1;-5.5
1-butanol;iodobenzene;CCCCO;C1=CC=C(C=C1)I;-4.05
naphthalene;carbontet;C1=CC=C2C=CC=CC2=C1;C(Cl)(Cl)(Cl)Cl;-7.55
E-2-pentene;water;CC(C)(C=NOC(=O)NC)SC;O;1.34
E-N-methylacetamide;water;CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-];O;-10.0
ethylacetate;nonane;CCOC(=O)C;CCCCCCCCC;-3.45
tetrahydropyran;hexadecane;C1CCOCC1;CCCCCCCCCCCCCCCC;-4.08
1-pentyne;octanol;CCCC#C;CCCCCCCCO;-2.79
m-cresol;benzene;CC1=CC(=CC=C1)O;C1=CC=CC=C1;-6.66
bromotrichloromethane;hexadecane;C(Cl)(Cl)(Cl)Br;CCCCCCCCCCCCCCCC;-4.46
toluene;ethanol;CC1=CC=CC=C1;CCO;-4.57
propanoicacid;cyclohexanone;CCC(=O)O;C1CCC(=O)CC1;-7.18
ethanol;dimethylpyridine;CCO;CC1=C(N=CC=C1)C;-4.87
2-methylpyridine;chloroform;CC1=CC=CC=N1;C(Cl)(Cl)Cl;-6.98
propylacetate;hexadecane;CCCOC(=O)C;CCCCCCCCCCCCCCCC;-3.93
iodobenzene;decalin;C1=CC=C(C=C1)I;C1CCC2CCCCC2C1;-5.96
1,1-dimethyl-3-phenylurea;benzene;CN(C)C(=O)NC1=CC=CC=C1;C1=CC=CC=C1;-12.18
fluoroethane;hexadecane;CCF;CCCCCCCCCCCCCCCC;-0.76
methylpentanoate;isopropyltoluene;CCCCC(=O)OC;CC1=CC=CC=C1C(C)C;-5.33
1-fluorohexane;hexadecane;CCCCCCF;CCCCCCCCCCCCCCCC;-4.03
1-pentanol;isooctane;CCCCCO;CC(C)CC(C)(C)C;-4.17
propylacetate;water;CCCOC(=O)C;O;-2.86
p-bromophenol;decanol;C1=CC(=CC=C1O)Br;CCCCCCCCCCO;-10.32
dimethylamine;xylene;CNC;CC1=CC=C(C=C1)C;-3.36
ammonia;toluene;N;CC1=CC=CC=C1;-2.38
methylisopropylether;water;CC(C)OC;O;-2.01
ethanol;odichlorobenzene;CCO;C1=CC=C(C(=C1)Cl)Cl;-2.34
isopropanol;octanol;CC(C)O;CCCCCCCCO;-4.62
nitromethane;bromoethane;C[N+](=O)[O-];CCBr;-4.54
1-heptanol;dibromoethane;CCCCCCCO;CC(Br)Br;-6.64
methanol;nonane;CO;CCCCCCCCC;-1.29
1-octanol;benzene;CCCCCCCCO;C1=CC=CC=C1;-8.06
phenol;ethylbenzene;C1=CC=C(C=C1)O;CCC1=CC=CC=C1;-6.82
butylamine;heptane;CCCCN;CCCCCCC;-3.55
2-hexanone;trimethylbenzene;CCCCC(=O)C;CC1=C(C(=CC=C1)C)C;-5.39
dimethyl4-nitrophenylthiophosphate;octanol;CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-];CCCCCCCCO;-11.7
chrysene;hexadecane;C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43;CCCCCCCCCCCCCCCC;-14.1
N-methyl-2-pyrrolidinone;octanol;CN1CCCC1=O;CCCCCCCCO;-8.63
1-heptanol;bromobenzene;CCCCCCCO;C1=CC=C(C=C1)Br;-6.68
2-hexanone;hexadecane;CCCCC(=O)C;CCCCCCCCCCCCCCCC;-4.45
diethylamine;octanol;CCNCC;CCCCCCCCO;-4.75
3,6-dichloro-2-methoxybenzoicacid(dicamba);water;COC1=C(C=CC(=C1C(=O)O)Cl)Cl;O;-9.9
1-propanol;diethylether;CCCO;CCOCC;-4.9
acetaldehyde;diethylether;CC=O;CCOCC;-2.85
2-hexanone;tbutylbenzene;CCCCC(=O)C;CC(C)(C)C1=CC=CC=C1;-5.27
2-methylaniline;octanol;CC1=CC=CC=C1N;CCCCCCCCO;-7.36
aceticacid;dibutylether;CC(=O)O;CCCCOCCCC;-5.21
diethylether;chloroform;CCOCC;C(Cl)(Cl)Cl;-4.32
n-octane;dibutylether;CCCCCCCC;CCCCOCCCC;-5.24
5-fluorouracil;water;C1=C(C(=O)NC(=O)N1)F;O;-16.92
chloroform;hexadecane;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCC;-3.38
propylamine;carbontet;CCCN;C(Cl)(Cl)(Cl)Cl;-3.59
2-butanone;mcresol;CCC(=O)C;CC1=CC(=CC=C1)O;-5.98
acetonitrile;hexadecane;CC#N;CCCCCCCCCCCCCCCC;-2.37
formaldehyde;diisopropylether;C=O;CC(C)OC(C)C;-1.04
n-octane;ethoxybenzene;CCCCCCCC;CCOC1=CC=CC=C1;-4.75
2-butanone;dimethylacetamide;CCC(=O)C;CC(=O)N(C)C;-4.52
ammonia;pentanol;N;CCCCCO;-3.13
3,3-dimethylbutanone;octanol;CC(=O)C(C)(C)C;CCCCCCCCO;-4.53
N,N-dimethyl-p-methoxybenzamide;water;CN(C)C(=O)C1=CC=C(C=C1)OC;O;-11.01
1,4-dioxane;mcresol;C1COCCO1;CC1=CC(=CC=C1)O;-6.82
tolfenamicacid;water;CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O;O;-6.71
phenol;dichloroethane;C1=CC=C(C=C1)O;CC(Cl)Cl;-7.48
o-cresol;carbontet;CC1=CC=CC=C1O;C(Cl)(Cl)(Cl)Cl;-6.51
toluene;dibutylether;CC1=CC=CC=C1;CCCCOCCCC;-4.87
N-methylcarbamicacid[1-(methylthio)ethylideneamino]ester(methomyl);water;CC(=NOC(=O)NC)SC;O;-10.7
N2-tert-butyl-N4-ethyl-6-methylthio-1,3,5-triazine-2,4-diamine(terbutryn);water;CCNC1=NC(=NC(=N1)SC)NC(C)(C)C;O;-6.7
1,2-ethanediol;ethylacetate;C(CO)O;CCOC(=O)C;-6.82
2,5-dimethylpyridine;water;CC1=CN=C(C=C1)C;O;-4.72
tetrahydrofuran;water;C1CCOC1;O;-3.47
toluene;hexane;CC1=CC=CC=C1;CCCCCC;-4.84
methylpropanoate;trimethylbenzene;CCC(=O)OC;CC1=C(C(=CC=C1)C)C;-4.14
ethylamine;diethylether;CCN;CCOCC;-2.89
m-cresol;4methyl2pentanone;CC1=CC(=CC=C1)O;CC(C)CC(=O)C;-8.79
fluorobenzene;water;C1=CC=C(C=C1)F;O;-0.78
dichloromethane;methylenechloride;C(Cl)Cl;C(Cl)Cl;-3.8
butanoicacid;ethylacetate;CCCC(=O)O;CCOC(=O)C;-7.34
3,aminoaniline;water;CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-];O;-9.92
toluene;benzene;CC1=CC=CC=C1;C1=CC=CC=C1;-5.32
methylformate;water;COC=O;O;-2.78
4-nitroaniline;octanol;C1=CC(=CC=C1N)[N+](=O)[O-];CCCCCCCCO;-11.35
N-methyl-2-pyrrolidinone;heptane;CN1CCCC1=O;CCCCCCC;-5.8
methylacetate;xylene;CC(=O)OC;CC1=CC=C(C=C1)C;-3.7
aceticacid;octanol;CC(=O)O;CCCCCCCCO;-6.35
paracetamol;water;CC(=O)NC1=CC=C(C=C1)O;O;-14.83
propylamine;hexanol;CCCN;CCCCCCO;-4.83
3,5-dibromo-4-hydroxybenzonitrile;hexane;C1=C(C=C(C(=C1Br)O)Br)C#N;CCCCCC;-9.67
methanol;pentane;CO;CCCCC;-1.29
nitromethane;dimethylsulfoxide;C[N+](=O)[O-];CS(=O)C;-5.66
chloroform;undecane;C(Cl)(Cl)Cl;CCCCCCCCCCC;-3.42
1-propanol;isooctane;CCCO;CC(C)CC(C)(C)C;-3.0
nitroethane;nitroethane;CC[N+](=O)[O-];CC[N+](=O)[O-];-5.53
1-butanol;benzene;CCCCO;C1=CC=CC=C1;-4.45
2-heptanone;nonane;CCCCCC(=O)C;CCCCCCCCC;-5.24
ethyleneglycolmononitrate;water;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-];O;-8.2
1-propanol;octanol;CCCO;CCCCCCCCO;-5.02
formaldehyde;butanone;C=O;CCC(=O)C;-1.77
2-butanone;hexane;CCC(=O)C;CCCCCC;-3.48
butylacetate;hexadecane;CCCCCC(=O)[O-];CCCCCCCCCCCCCCCC;-4.61
piperazine;octanol;C1CNCCN1;CCCCCCCCO;-5.8
o-xylene;heptane;CC1=CC=CC=C1C;CCCCCCC;-5.52
2-butanone;aceticacid;CCC(=O)C;CC(=O)O;-4.8
1-propanol;dibromoethane;CCCO;CC(Br)Br;-3.82
n-octane;isopropanol;CCCCCCCC;CC(C)O;-4.5
chloroform;chloroform;C(Cl)(Cl)Cl;C(Cl)(Cl)Cl;-4.13
nitroethane;octanol;CC[N+](=O)[O-];CCCCCCCCO;-3.93
phenol;pentanol;C1=CC=C(C=C1)O;CCCCCO;-8.55
dimethylamine;carbontet;CNC;C(Cl)(Cl)(Cl)Cl;-2.75
fluorotrichloromethane;octanol;C(F)(Cl)(Cl)Cl;CCCCCCCCO;-2.63
2-methylpyrazine;octane;CC1=NC=CN=C1;CCCCCCCC;-4.7
diethylamine;toluene;CCNCC;CC1=CC=CC=C1;-3.75
p-hydroxybenzaldehyde;water;C1=CC(=CC=C1C=O)O;O;-10.48
3,5-dimethylpyridine;benzene;CC1=CC(=CN=C1)C;C1=CC=CC=C1;-7.64
phenol;decane;C1=CC=C(C=C1)O;CCCCCCCCCC;-5.5
ethylacetate;bromobenzene;CCOC(=O)C;C1=CC=C(C=C1)Br;-4.57
2,6-dichlorobenzonitrile;water;C1=CC(=C(C(=C1)Cl)C#N)Cl;O;-5.22
1-butanol;dodecane;CCCCO;CCCCCCCCCCCC;-3.47
t-butanol;chloroform;CC(C)(C)O;C(Cl)(Cl)Cl;-4.48
butylacetate;butylbenzene;CCCCCC(=O)[O-];CCCCC1=CC=CC=C1;-5.28
pentylacetate;chloroform;CCCCCOC(=O)C;C(Cl)(Cl)Cl;-7.36
2-pentanone;perfluorobenzene;CCCC(=O)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.1
4-methylaniline;cyclohexane;CC1=CC=C(C=C1)N;C1CCCCC1;-6.3
n-octane;octane;CCCCCCCC;CCCCCCCC;-5.28
1,2-ethanediamine;water;C(CN)N;O;-9.72
1-propanol;benzene;CCCO;C1=CC=CC=C1;-3.87
iodobenzene;cyclohexane;C1=CC=C(C=C1)I;C1CCCCC1;-6.26
toluene;heptanol;CC1=CC=CC=C1;CCCCCCCO;-4.33
1-octanol;water;CCCCCCCCO;O;-4.09
n-octane;acetonitrile;CCCCCCCC;CC#N;-3.57
diethylamine;xylene;CCNCC;CC1=CC=C(C=C1)C;-3.93
1,4-dioxane;benzylalcohol;C1COCCO1;C1=CC=C(C=C1)CO;-5.39
waterdimer;water;O;O;-11.27
o-cresol;ethylbenzene;CC1=CC=CC=C1O;CCC1=CC=CC=C1;-7.25
isopropylether;diisopropylether;CC(C)OC(C)C;CC(C)OC(C)C;-3.97
m-cresol;octanol;CC1=CC(=CC=C1)O;CCCCCCCCO;-8.2
2-butanone;benzonitrile;CCC(=O)C;C1=CC=C(C=C1)C#N;-4.58
aceticacid;bromoform;CC(=O)O;C(Br)(Br)Br;-4.54
1-bromobutane;octanol;CCCCBr;CCCCCCCCO;-4.16
dibutylether;dibutylether;CCCCOCCCC;CCCCOCCCC;-5.76
nitromethane;aceticacid;C[N+](=O)[O-];CC(=O)O;-4.88
tripropylphosphate;water;CCCOP(=O)(OCCC)OCCC;O;-6.1
pentanoicacid;secbutanol;CCCCC(=O)O;CCC(C)O;-7.61
n-hexane;hexane;CCCCCC;CCCCCC;-4.0
pyridine;heptane;C1=CC=NC=C1;CCCCCCC;-4.28
imidazole;water;C1=CN=CN1;O;-9.81
1-butanol;cyclohexane;CCCCO;C1CCCCC1;-3.52
methylacetate;cyclohexane;CC(=O)OC;C1CCCCC1;-3.06
n-octane;benzene;CCCCCCCC;C1=CC=CC=C1;-5.35
iodomethane;water;CI;O;-0.89
nitromethane;butanol;C[N+](=O)[O-];CCCCO;-3.93
pyrrole;chloroform;C1=CNC=C1;C(Cl)(Cl)Cl;-5.5
dimethylsulfide;water;CSC;O;-1.54
propylacetate;heptane;CCCOC(=O)C;CCCCCCC;-4.09
methanol;tributylphosphate;CO;CCCCOP(=O)(OCCCC)OCCCC;-4.16
2,2-dimethylpropane;water;CC(C)(C)C;O;2.5
6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepine-3-oxide(endosulfanalpha);water;C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-4.2
aceticacid;pentanol;CC(=O)O;CCCCCO;-6.65
methylpentanoate;perfluorobenzene;CCCCC(=O)OC;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.59
acetaldehyde;water;CC=O;O;-3.5
methylacetate;secbutylbenzene;CC(=O)OC;CCC(C)C1=CC=CC=C1;-3.91
n-octane;phenylether;CCCCCCCC;C1=CC=C(C=C1)OC2=CC=CC=C2;-4.38
n-heptane;octanol;CCCCCCC;CCCCCCCCO;-3.74
acetophenone;water;CC(=O)C1=CC=CC=C1;O;-4.58
fluoromethane;water;CF;O;-0.22
1,1-dimethyl-3-phenylurea;water;CN(C)C(=O)NC1=CC=CC=C1;O;-9.63
2-butanone;aniline;CCC(=O)C;C1=CC=C(C=C1)N;-4.87
propene;hexadecane;CC=C;CCCCCCCCCCCCCCCC;-1.29
3-methylaniline;benzene;CC1=CC(=CC=C1)N;C1=CC=CC=C1;-7.61
ibuprofen(racemic);water;CC(C)CC1=CC=C(C=C1)C(C)C(=O)O;O;-7.0
1,4-dioxane;acetophenone;C1COCCO1;CC(=O)C1=CC=CC=C1;-5.03
1-pentanol;carbontet;CCCCCO;C(Cl)(Cl)(Cl)Cl;-4.73
2,2-dimethylpropane;octanol;CC(C)(C)C;CCCCCCCCO;-1.74
n-pentane;benzene;CCCCC;C1=CC=CC=C1;-2.99
bromotoluene;octanol;CC1=CC=CC=C1Br;CCCCCCCCO;-6.36
carbontet;carbontet;COC1=C(C=CC(=C1C(=O)O)Cl)Cl;C(Cl)(Cl)(Cl)Cl;-4.35
n-hexane;hexadecane;CCCCCC;CCCCCCCCCCCCCCCC;-3.64
diethylether;water;CCOCC;O;-1.76
phenol;toluene;C1=CC=C(C=C1)O;CC1=CC=CC=C1;-6.93
triethylphosphate;cyclohexane;CCOP(=O)(OCC)OCC;C1CCCCC1;-7.6
