,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
877,"2,6-dimethylpyridine",dimethylpyridine,CC1=NC(=CC=C1)C,CC1=C(N=CC=C1)C,-6.04
878,n-octane,dimethylsulfoxide,CCCCCCCC,CS(=O)C,-2.84
879,toluene,dimethylsulfoxide,CC1=CC=CC=C1,CS(=O)C,-4.42
880,ethanol,dimethylsulfoxide,CCO,CS(=O)C,-5.25
881,"1,4-dioxane",dimethylsulfoxide,C1COCCO1,CS(=O)C,-4.9
882,2-butanone,dimethylsulfoxide,CCC(=O)C,CS(=O)C,-4.23
883,dimethylsulfoxide,dimethylsulfoxide,CS(=O)C,CS(=O)C,-7.63
884,nitromethane,dimethylsulfoxide,C[N+](=O)[O-],CS(=O)C,-5.66
885,ethanol,dodecane,CCO,CCCCCCCCCCCC,-2.06
886,1-propanol,dodecane,CCCO,CCCCCCCCCCCC,-2.74
887,1-butanol,dodecane,CCCCO,CCCCCCCCCCCC,-3.47
888,1-pentanol,dodecane,CCCCCO,CCCCCCCCCCCC,-4.09
889,1-hexanol,dodecane,CCCCCCO,CCCCCCCCCCCC,-4.28
890,1-heptanol,dodecane,CCCCCCCO,CCCCCCCCCCCC,-5.41
891,acetophenone,dodecane,CC(=O)C1=CC=CC=C1,CCCCCCCCCCCC,-6.11
892,n-dodecane,dodecane,CCCCCCCCCCCC,CCCCCCCCCCCC,-7.83
893,n-octane,ethanol,CCCCCCCC,CCO,-4.23
894,toluene,ethanol,CC1=CC=CC=C1,CCO,-4.57
895,ethanol,ethanol,CCO,CCO,-5.04
896,"1,4-dioxane",ethanol,C1COCCO1,CCO,-4.68
897,2-butanone,ethanol,CCC(=O)C,CCO,-4.32
898,chlorobenzene,ethanol,C1=CC=C(C=C1)Cl,CCO,-3.3
899,nitromethane,ethanol,C[N+](=O)[O-],CCO,-4.34
900,g-butyrolactone,ethanol,C1CC(=O)OC1,CCO,-4.58
901,n-octane,ethoxybenzene,CCCCCCCC,CCOC1=CC=CC=C1,-4.75
902,toluene,ethoxybenzene,CC1=CC=CC=C1,CCOC1=CC=CC=C1,-4.99
903,ethanol,ethoxybenzene,CCO,CCOC1=CC=CC=C1,-3.45
904,"1,4-dioxane",ethoxybenzene,C1COCCO1,CCOC1=CC=CC=C1,-4.87
905,2-butanone,ethoxybenzene,CCC(=O)C,CCOC1=CC=CC=C1,-4.28
907,nitromethane,ethoxybenzene,C[N+](=O)[O-],CCOC1=CC=CC=C1,-4.45
908,n-octane,ethylacetate,CCCCCCCC,CCOC(=O)C,-4.72
909,toluene,ethylacetate,CC1=CC=CC=C1,CCOC(=O)C,-5.05
910,methanol,ethylacetate,CO,CCOC(=O)C,-3.37
911,ethanol,ethylacetate,CCO,CCOC(=O)C,-4.24
912,"1,2-ethanediol",ethylacetate,C(CO)O,CCOC(=O)C,-6.82
913,1-propanol,ethylacetate,CCCO,CCOC(=O)C,-4.9
914,1-butanol,ethylacetate,CCCCO,CCOC(=O)C,-5.77
915,1-pentanol,ethylacetate,CCCCCO,CCOC(=O)C,-6.13
916,phenol,ethylacetate,C1=CC=C(C=C1)O,CCOC(=O)C,-8.7
917,1-hexanol,ethylacetate,CCCCCCO,CCOC(=O)C,-6.92
918,1-heptanol,ethylacetate,CCCCCCCO,CCOC(=O)C,-7.56
919,"1,4-dioxane",ethylacetate,C1COCCO1,CCOC(=O)C,-5.03
921,propanoicacid,ethylacetate,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCOC(=O)C,-6.95
922,butanoicacid,ethylacetate,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCOC(=O)C,-7.34
923,ethylacetate,ethylacetate,CCOC(=O)C,CCOC(=O)C,-4.46
924,water,ethylacetate,O,CCOC(=O)C,-4.26
925,1-octanol,ethylacetate,CCCCCCCCO,CCOC(=O)C,-8.41
926,nitromethane,ethylacetate,C[N+](=O)[O-],CCOC(=O)C,-5.06
927,4-methylaniline,ethylacetate,CC1=CC=C(C=C1)N,CCOC(=O)C,-7.63
928,hydrogenperoxide,ethylacetate,OO,CCOC(=O)C,-7.6
929,uracil,ethylacetate,C1=CNC(=O)NC1=O,CCOC(=O)C,-15.43
930,5-fluorouracil,ethylacetate,C1=C(C(=O)NC(=O)N1)F,CCOC(=O)C,-16.1
931,5-bromouracil,ethylacetate,C1=C(C(=O)NC(=O)N1)Br,CCOC(=O)C,-17.93
932,ethylbenzene,ethylbenzene,CCC1=CC=CC=C1,CCC1=CC=CC=C1,-5.67
933,methanol,ethylbenzene,CO,CCC1=CC=CC=C1,-1.43
934,ethanol,ethylbenzene,CCO,CCC1=CC=CC=C1,-2.49
935,1-propanol,ethylbenzene,CCCO,CCC1=CC=CC=C1,-3.71
936,1-butanol,ethylbenzene,CCCCO,CCC1=CC=CC=C1,-3.77
937,1-pentanol,ethylbenzene,CCCCCO,CCC1=CC=CC=C1,-4.72
938,phenol,ethylbenzene,C1=CC=C(C=C1)O,CCC1=CC=CC=C1,-6.82
939,1-hexanol,ethylbenzene,CCCCCCO,CCC1=CC=CC=C1,-5.68
940,o-cresol,ethylbenzene,CC1=CC=CC=C1O,CCC1=CC=CC=C1,-7.25
941,1-heptanol,ethylbenzene,CCCCCCCO,CCC1=CC=CC=C1,-6.7
942,acetone,ethylbenzene,CC(=O)C,CCC1=CC=CC=C1,-3.41
943,2-butanone,ethylbenzene,CCC(=O)C,CCC1=CC=CC=C1,-4.12
944,2-pentanone,ethylbenzene,CCCC(=O)C,CCC1=CC=CC=C1,-4.85
945,2-hexanone,ethylbenzene,CCCCC(=O)C,CCC1=CC=CC=C1,-5.49
946,"3,3-dimethylbutanone",ethylbenzene,CC(=O)C(C)(C)C,CCC1=CC=CC=C1,-4.92
947,2-heptanone,ethylbenzene,CCCCCC(=O)C,CCC1=CC=CC=C1,-6.1
950,ethylacetate,ethylbenzene,CCOC(=O)C,CCC1=CC=CC=C1,-4.31
951,propylacetate,ethylbenzene,CCCCC(=O)O,CCC1=CC=CC=C1,-4.95
953,butylacetate,ethylbenzene,CCCCCC(=O)[O-],CCC1=CC=CC=C1,-5.48
955,ethylamine,ethylbenzene,CCN,CCC1=CC=CC=C1,-2.59
956,propylamine,ethylbenzene,CCCN,CCC1=CC=CC=C1,-3.44
957,trimethylamine,ethylbenzene,CN(C)C,CCC1=CC=CC=C1,-2.64
958,butylamine,ethylbenzene,CCCCN,CCC1=CC=CC=C1,-4.43
959,p-bromophenol,ethylbenzene,C1=CC(=CC=C1O)Br,CCC1=CC=CC=C1,-8.54
960,water,ethylbenzene,O,CCC1=CC=CC=C1,-1.51
961,n-octane,fluorobenzene,CCCCCCCC,C1=CC=C(C=C1)F,-4.99
962,toluene,fluorobenzene,CC1=CC=CC=C1,C1=CC=C(C=C1)F,-5.27
963,ethanol,fluorobenzene,CCO,C1=CC=C(C=C1)F,-3.45
964,"1,4-dioxane",fluorobenzene,C1COCCO1,C1=CC=C(C=C1)F,-5.18
965,2-butanone,fluorobenzene,CCC(=O)C,C1=CC=C(C=C1)F,-4.6
966,fluorobenzene,fluorobenzene,C1=CC=C(C=C1)F,C1=CC=C(C=C1)F,-4.6
967,nitromethane,fluorobenzene,C[N+](=O)[O-],C1=CC=C(C=C1)F,-4.62
974,n-heptane,heptane,CCCCCCC,CCCCCCC,-4.65
975,benzene,heptane,C1=CC=CC=C1,CCCCCCC,-4
976,toluene,heptane,CC1=CC=CC=C1,CCCCCCC,-4.78
977,o-xylene,heptane,CC1=CC=CC=C1C,CCCCCCC,-5.52
978,m-xylene,heptane,CC1=CC(=CC=C1)C,CCCCCCC,-5.67
979,p-xylene,heptane,CC1=CC=C(C=C1)C,CCCCCCC,-5.52
980,naphthalene,heptane,C1=CC=C2C=CC=CC2=C1,CCCCCCC,-7.02
981,anthracene,heptane,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCCCCCC,-10
982,methanol,heptane,CO,CCCCCCC,-1.29
983,ethanol,heptane,CCO,CCCCCCC,-2.15
984,1-propanol,heptane,CCCO,CCCCCCC,-3.01
985,1-butanol,heptane,CCCCO,CCCCCCC,-3.66
986,1-pentanol,heptane,CCCCCO,CCCCCCC,-4.09
987,phenol,heptane,C1=CC=C(C=C1)O,CCCCCCC,-5.32
988,1-hexanol,heptane,CCCCCCO,CCCCCCC,-4.89
989,o-cresol,heptane,CC1=CC=CC=C1O,CCCCCCC,-6.01
990,m-cresol,heptane,CC1=CC(=CC=C1)O,CCCCCCC,-5.01
991,p-cresol,heptane,CC1=CC=C(C=C1)O,CCCCCCC,-5.77
992,1-heptanol,heptane,CCCCCCCO,CCCCCCC,-5.6
993,anisole,heptane,COC1=CC=CC=C1,CCCCCCC,-5.35
994,benzaldehyde,heptane,C1=CC=C(C=C1)C=O,CCCCCCC,-5.5
995,acetone,heptane,CC(=O)C,CCCCCCC,-2.61
996,2-butanone,heptane,CCC(=O)C,CCCCCCC,-3.36
997,2-pentanone,heptane,CCCC(=O)C,CCCCCCC,-4.07
998,2-hexanone,heptane,CCCCC(=O)C,CCCCCCC,-4.55
999,"3,3-dimethylbutanone",heptane,CC(=O)C(C)(C)C,CCCCCCC,-4.3
1000,2-heptanone,heptane,CCCCCC(=O)C,CCCCCCC,-5.22
1001,acetophenone,heptane,CC(=O)C1=CC=CC=C1,CCCCCCC,-6.14
1002,propanoicacid,heptane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCCCC,-4.06
1003,butanoicacid,heptane,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCCC,-5.05
1005,hexanoicacid,heptane,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CCCCCCC,-6.54
1008,ethylacetate,heptane,CCOC(=O)C,CCCCCCC,-3.5
1009,propylacetate,heptane,CCCCC(=O)O,CCCCCCC,-4.09
1011,butylacetate,heptane,CCCCCC(=O)[O-],CCCCCCC,-4.83
1014,ethylamine,heptane,CCN,CCCCCCC,-2.09
1015,propylamine,heptane,CCCN,CCCCCCC,-3.03
1016,butylamine,heptane,CCCCN,CCCCCCC,-3.55
1017,pyridine,heptane,C1=CC=NC=C1,CCCCCCC,-4.28
1018,aniline,heptane,C1=CC=C(C=C1)N,CCCCCCC,-5.38
1019,acetonitrile,heptane,CC#N,CCCCCCC,-2.06
1020,benzonitrile,heptane,C1=CC=C(C=C1)C#N,CCCCCCC,-5.33
1021,nitrobenzene,heptane,C1=CC=C(C=C1)[N+](=O)[O-],CCCCCCC,-6.14
1022,fluorobenzene,heptane,C1=CC=C(C=C1)F,CCCCCCC,-4.13
1023,chlorobenzene,heptane,C1=CC=C(C=C1)Cl,CCCCCCC,-5.15
1024,"1,2-dichlorobenzene",heptane,C1=CC=C(C(=C1)Cl)Cl,CCCCCCC,-6.01
1025,"1,4-dichlorobenzene",heptane,C1=CC(=CC=C1Cl)Cl,CCCCCCC,-5.81
1026,bromobenzene,heptane,C1=CC=C(C=C1)Br,CCCCCCC,-5.72
1027,p-dibromobenzene,heptane,C1=CC(=CC=C1Br)Br,CCCCCCC,-7.55
1028,trimethylphosphate,heptane,COP(=O)(OC)OC,CCCCCCC,-5.59
1029,triethylphosphate,heptane,CCOP(=O)(OCC)OCC,CCCCCCC,-6.67
1030,tripropylphosphate,heptane,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)C,CCCCCCC,-7.5
1031,2-octanone,heptane,CCCCCCC(=O)C,CCCCCCC,-5.68
1032,thiophene,heptane,C1=CSC=C1,CCCCCCC,-4.09
1033,"2,2'-dichlorobiphenyl",heptane,C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl,CCCCCCC,-9.22
1034,"N,N-dimethylacetamide",heptane,CC(=O)N(C)C,CCCCCCC,-4.8
1035,benzamide,heptane,C1=CC=C(C=C1)C(=O)N,CCCCCCC,-7.26
1036,2-methylaniline,heptane,CC1=CC=CC=C1N,CCCCCCC,-6.28
1037,3-methylaniline,heptane,CC1=CC(=CC=C1)N,CCCCCCC,-6.35
1038,4-methylaniline,heptane,CC1=CC=C(C=C1)N,CCCCCCC,-6.15
1039,N-methyl-2-pyrrolidinone,heptane,CN1CCCC1=O,CCCCCCC,-5.8
1040,5-fluorouracil,heptane,C1=C(C(=O)NC(=O)N1)F,CCCCCCC,-11.28
1041,5-bromouracil,heptane,C1=C(C(=O)NC(=O)N1)Br,CCCCCCC,-12.73
1042,iodobenzene,heptane,C1=CC=C(C=C1)I,CCCCCCC,-6.27
1043,benzene,heptanol,C1=CC=CC=C1,CCCCCCCO,-3.73
1044,toluene,heptanol,CC1=CC=CC=C1,CCCCCCCO,-4.33
1045,ethylbenzene,heptanol,CCC1=CC=CC=C1,CCCCCCCO,-4.58
1046,phenol,heptanol,C1=CC=C(C=C1)O,CCCCCCCO,-8.69
1047,o-cresol,heptanol,CC1=CC=CC=C1O,CCCCCCCO,-8.78
1048,p-cresol,heptanol,CC1=CC=C(C=C1)O,CCCCCCCO,-9.16
1049,1-heptanol,heptanol,CCCCCCCO,CCCCCCCO,-7.84
1051,ethylamine,heptanol,CCN,CCCCCCCO,-4.15
1052,propylamine,heptanol,CCCN,CCCCCCCO,-4.8
1053,butylamine,heptanol,CCCCN,CCCCCCCO,-5.4
1054,p-bromophenol,heptanol,C1=CC(=CC=C1O)Br,CCCCCCCO,-10.49
1055,methane,hexadecane,C,CCCCCCCCCCCCCCCC,0.45
1056,ethane,hexadecane,CC,CCCCCCCCCCCCCCCC,-0.67
1057,n-propane,hexadecane,CCC,CCCCCCCCCCCCCCCC,-1.43
1058,n-butane,hexadecane,CCCC,CCCCCCCCCCCCCCCC,-2.2
1059,n-pentane,hexadecane,CCCCC,CCCCCCCCCCCCCCCC,-2.95
1060,n-hexane,hexadecane,CCCCCC,CCCCCCCCCCCCCCCC,-3.64
1061,n-heptane,hexadecane,CCCCCCC,CCCCCCCCCCCCCCCC,-4.33
1062,n-octane,hexadecane,CCCCCCCC,CCCCCCCCCCCCCCCC,-5.02
1063,n-hexadecane,hexadecane,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,-10.52
1064,2-methylpropane,hexadecane,CC(C)C,CCCCCCCCCCCCCCCC,-1.92
1065,"2,2-dimethylpropane",hexadecane,CC(C)(C)C,CCCCCCCCCCCCCCCC,-2.48
1066,2-methylpentane,hexadecane,CCCC(C)C,CCCCCCCCCCCCCCCC,-3.48
1067,"2,4-dimethylpentane",hexadecane,CC(C)CC(C)C,CCCCCCCCCCCCCCCC,-3.87
1068,"2,2,4-trimethylpentane",hexadecane,CC(C)CC(C)(C)C,CCCCCCCCCCCCCCCC,-4.24
1069,cyclopropane,hexadecane,C1CC1,CCCCCCCCCCCCCCCC,-1.78
1070,cyclopentane,hexadecane,C1CCCC1,CCCCCCCCCCCCCCCC,-3.38
1071,cyclohexane,hexadecane,C1CCCCC1,CCCCCCCCCCCCCCCC,-4.04
1072,methylcyclohexane,hexadecane,CC1CCCCC1,CCCCCCCCCCCCCCCC,-4.43
1073,ethene,hexadecane,C=C,CCCCCCCCCCCCCCCC,-0.39
1074,propene,hexadecane,CC=C,CCCCCCCCCCCCCCCC,-1.29
1076,1-butene,hexadecane,CCC=C,CCCCCCCCCCCCCCCC,-2.03
1077,1-pentene,hexadecane,CCCC=C,CCCCCCCCCCCCCCCC,-2.79
1078,1-hexene,hexadecane,CCCCC=C,CCCCCCCCCCCCCCCC,-3.51
1079,ethyne,hexadecane,C#C,CCCCCCCCCCCCCCCC,-0.2
1080,propyne,hexadecane,CC#C,CCCCCCCCCCCCCCCC,-1.4
1081,1-butyne,hexadecane,CCC#C,CCCCCCCCCCCCCCCC,-2.07
1082,1-pentyne,hexadecane,CCCC#C,CCCCCCCCCCCCCCCC,-2.74
1083,1-hexyne,hexadecane,CCCCC#C,CCCCCCCCCCCCCCCC,-3.42
1084,benzene,hexadecane,C1=CC=CC=C1,CCCCCCCCCCCCCCCC,-3.8
1085,toluene,hexadecane,CC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-4.54
1086,ethylbenzene,hexadecane,CCC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-5.15
1087,o-xylene,hexadecane,CC1=CC=CC=C1C,CCCCCCCCCCCCCCCC,-5.37
1088,m-xylene,hexadecane,CC1=CC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.24
1089,p-xylene,hexadecane,CC1=CC=C(C=C1)C,CCCCCCCCCCCCCCCC,-5.24
1090,naphthalene,hexadecane,C1=CC=C2C=CC=CC2=C1,CCCCCCCCCCCCCCCC,-7.29
1091,anthracene,hexadecane,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCCCCCCCCCCCCCCC,-10.32
1092,chrysene,hexadecane,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,CCCCCCCCCCCCCCCC,-14.1
1093,methanol,hexadecane,CO,CCCCCCCCCCCCCCCC,-1.32
1094,ethanol,hexadecane,CCO,CCCCCCCCCCCCCCCC,-2.03
1095,"1,2-ethanediol",hexadecane,C(CO)O,CCCCCCCCCCCCCCCC,-2.81
1096,1-propanol,hexadecane,CCCO,CCCCCCCCCCCCCCCC,-2.77
1097,isopropanol,hexadecane,CC(C)O,CCCCCCCCCCCCCCCC,-2.47
1098,1-butanol,hexadecane,CCCCO,CCCCCCCCCCCCCCCC,-3.55
1099,t-butanol,hexadecane,CC(C)(C)O,CCCCCCCCCCCCCCCC,-2.74
1100,cyclopentanol,hexadecane,C1CCC(C1)O,CCCCCCCCCCCCCCCC,-4.42
1101,1-pentanol,hexadecane,CCCCCO,CCCCCCCCCCCCCCCC,-4.24
1102,phenol,hexadecane,C1=CC=C(C=C1)O,CCCCCCCCCCCCCCCC,-5.14
1103,1-hexanol,hexadecane,CCCCCCO,CCCCCCCCCCCCCCCC,-4.92
1104,o-cresol,hexadecane,CC1=CC=CC=C1O,CCCCCCCCCCCCCCCC,-5.78
1105,m-cresol,hexadecane,CC1=CC(=CC=C1)O,CCCCCCCCCCCCCCCC,-5.91
1106,p-cresol,hexadecane,CC1=CC=C(C=C1)O,CCCCCCCCCCCCCCCC,-5.88
1107,1-heptanol,hexadecane,CCCCCCCO,CCCCCCCCCCCCCCCC,-5.62
1108,1-decanol,hexadecane,CCCCCCCCCCO,CCCCCCCCCCCCCCCC,-7.68
1109,dimethylether,hexadecane,COC,CCCCCCCCCCCCCCCC,-1.49
1110,tetrahydrofuran,hexadecane,C1CCOC1,CCCCCCCCCCCCCCCC,-3.6
1111,"1,4-dioxane",hexadecane,C1COCCO1,CCCCCCCCCCCCCCCC,-3.82
1112,diethylether,hexadecane,CCOCC,CCCCCCCCCCCCCCCC,-2.81
1113,"1,2-dimethoxyethane",hexadecane,COCCOC,CCCCCCCCCCCCCCCC,-3.63
1114,anisole,hexadecane,COC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-5.35
1115,formaldehyde,hexadecane,C=O,CCCCCCCCCCCCCCCC,-0.99
1116,acetaldehyde,hexadecane,CC=O,CCCCCCCCCCCCCCCC,-1.68
1117,propanal,hexadecane,CCC=O,CCCCCCCCCCCCCCCC,-2.48
1118,butanal,hexadecane,CCCC=O,CCCCCCCCCCCCCCCC,-3.1
1119,pentanal,hexadecane,CCCCC=O,CCCCCCCCCCCCCCCC,-3.89
1120,benzaldehyde,hexadecane,C1=CC=C(C=C1)C=O,CCCCCCCCCCCCCCCC,-5.44
1121,acetone,hexadecane,CC(=O)C,CCCCCCCCCCCCCCCC,-2.31
1122,2-butanone,hexadecane,CCC(=O)C,CCCCCCCCCCCCCCCC,-3.12
1123,cyclopentanone,hexadecane,C1CCC(=O)C1,CCCCCCCCCCCCCCCC,-4.39
1124,2-pentanone,hexadecane,CCCC(=O)C,CCCCCCCCCCCCCCCC,-3.76
1125,3-pentanone,hexadecane,CCC(=O)CC,CCCCCCCCCCCCCCCC,-3.83
1126,2-hexanone,hexadecane,CCCCC(=O)C,CCCCCCCCCCCCCCCC,-4.45
1127,"3,3-dimethylbutanone",hexadecane,CC(=O)C(C)(C)C,CCCCCCCCCCCCCCCC,-3.94
1128,2-heptanone,hexadecane,CCCCCC(=O)C,CCCCCCCCCCCCCCCC,-5.13
1129,4-heptanone,hexadecane,CCCC(=O)CCC,CCCCCCCCCCCCCCCC,-5.2
1130,acetophenone,hexadecane,CC(=O)C1=CC=CC=C1,CCCCCCCCCCCCCCCC,-6.14
1131,5-nonanone,hexadecane,CCCCC(=O)CCCC,CCCCCCCCCCCCCCCC,-6.46
1133,propanoicacid,hexadecane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCCCCCCCCCCCCC,-3.12
1134,butanoicacid,hexadecane,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCCCCCCCCCCCC,-3.86
1136,hexanoicacid,hexadecane,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CCCCCCCCCCCCCCCC,-5.35
1137,methylformate,hexadecane,COC=O,CCCCCCCCCCCCCCCC,-1.99
1138,ethylformate,hexadecane,CCOC=O,CCCCCCCCCCCCCCCC,-2.59
1141,ethylacetate,hexadecane,CCOC(=O)C,CCCCCCCCCCCCCCCC,-3.25
1143,propylacetate,hexadecane,CCCCC(=O)O,CCCCCCCCCCCCCCCC,-3.93
1145,butylacetate,hexadecane,CCCCCC(=O)[O-],CCCCCCCCCCCCCCCC,-4.61
1148,ethyloctadecanoate,hexadecane,CCCCCCCCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCCCCCC,-13.69
1149,ethylamine,hexadecane,CCN,CCCCCCCCCCCCCCCC,-2.29
1150,dimethylamine,hexadecane,CNC,CCCCCCCCCCCCCCCC,-2.18
1151,propylamine,hexadecane,CCCN,CCCCCCCCCCCCCCCC,-2.92
1152,trimethylamine,hexadecane,CN(C)C,CCCCCCCCCCCCCCCC,-2.21
1153,diethylamine,hexadecane,CCNCC,CCCCCCCCCCCCCCCC,-3.27
1154,pentylamine,hexadecane,CCCCCN,CCCCCCCCCCCCCCCC,-4.28
1155,dipropylamine,hexadecane,CCCNCCC,CCCCCCCCCCCCCCCC,-4.57
1156,pyridine,hexadecane,C1=CC=NC=C1,CCCCCCCCCCCCCCCC,-4.1
1157,aniline,hexadecane,C1=CC=C(C=C1)N,CCCCCCCCCCCCCCCC,-5.44
1158,2-methylpyridine,hexadecane,CC1=CC=CC=N1,CCCCCCCCCCCCCCCC,-4.68
1159,3-methylpyridine,hexadecane,CC1=CN=CC=C1,CCCCCCCCCCCCCCCC,-4.91
1160,4-methylpyridine,hexadecane,CC1=CC=NC=C1,CCCCCCCCCCCCCCCC,-4.89
1161,N-methylaniline,hexadecane,CNC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-6.19
1162,"2,4-dimethylpyridine",hexadecane,CC1=CC(=NC=C1)C,CCCCCCCCCCCCCCCC,-5.52
1163,"2,5-dimethylpyridine",hexadecane,CC1=CN=C(C=C1)C,CCCCCCCCCCCCCCCC,-5.52
1164,"2,6-dimethylpyridine",hexadecane,CC1=NC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.27
1165,acetonitrile,hexadecane,CC#N,CCCCCCCCCCCCCCCC,-2.37
1166,propionitrile,hexadecane,CCC#N,CCCCCCCCCCCCCCCC,-2.84
1168,benzonitrile,hexadecane,C1=CC=C(C=C1)C#N,CCCCCCCCCCCCCCCC,-5.51
1169,nitroethane,hexadecane,CC[N+](=O)[O-],CCCCCCCCCCCCCCCC,-3.29
1170,1-nitropropane,hexadecane,CCC[N+](=O)[O-],CCCCCCCCCCCCCCCC,-3.95
1171,2-nitropropane,hexadecane,CC(C)[N+](=O)[O-],CCCCCCCCCCCCCCCC,-3.47
1172,1-nitrobutane,hexadecane,CCCC[N+](=O)[O-],CCCCCCCCCCCCCCCC,-4.66
1173,nitrobenzene,hexadecane,C1=CC=C(C=C1)[N+](=O)[O-],CCCCCCCCCCCCCCCC,-6.22
1174,2-methyl-1-nitrobenzene,hexadecane,CC1=CC=CC=C1[N+](=O)[O-],CCCCCCCCCCCCCCCC,-6.52
1175,ethanethiol,hexadecane,CCS,CCCCCCCCCCCCCCCC,-2.96
1176,1-propanethiol,hexadecane,CCCS,CCCCCCCCCCCCCCCC,-3.66
1177,thiophenol,hexadecane,C1=CC=C(C=C1)S,CCCCCCCCCCCCCCCC,-5.61
1178,dimethylsulfide,hexadecane,CSC,CCCCCCCCCCCCCCCC,-3.05
1179,dimethyldisulfide,hexadecane,CSSC,CCCCCCCCCCCCCCCC,-4.84
1180,diethylsulfide,hexadecane,CCSCC,CCCCCCCCCCCCCCCC,-4.23
1181,dipropylsulfide,hexadecane,CCCSCCC,CCCCCCCCCCCCCCCC,-5.61
1183,fluoroethane,hexadecane,CCF,CCCCCCCCCCCCCCCC,-0.76
1184,fluorobenzene,hexadecane,C1=CC=C(C=C1)F,CCCCCCCCCCCCCCCC,-4.03
1185,1-fluorohexane,hexadecane,CCCCCCF,CCCCCCCCCCCCCCCC,-4.03
1186,1-fluorooctane,hexadecane,CCCCCCCCF,CCCCCCCCCCCCCCCC,-5.25
1187,dichloromethane,hexadecane,C(Cl)Cl,CCCCCCCCCCCCCCCC,-2.76
1188,chloroform,hexadecane,C(Cl)(Cl)Cl,CCCCCCCCCCCCCCCC,-3.38
1189,chloroethane,hexadecane,CCCl,CCCCCCCCCCCCCCCC,-2.29
1190,"1,1,1-trichloroethane",hexadecane,CC(Cl)(Cl)Cl,CCCCCCCCCCCCCCCC,-3.73
1191,"1,1,2-trichloroethane",hexadecane,C(C(Cl)Cl)Cl,CCCCCCCCCCCCCCCC,-4.49
1192,1-chloropropane,hexadecane,CCCCl,CCCCCCCCCCCCCCCC,-2.86
1193,2-chloropropane,hexadecane,CC(C)Cl,CCCCCCCCCCCCCCCC,-2.69
1194,3-chloropropene,hexadecane,C=CCCl,CCCCCCCCCCCCCCCC,-2.88
1195,"Z-1,2-dichloroethene",hexadecane,C(=C\Cl)\Cl,CCCCCCCCCCCCCCCC,-3.33
1196,"E-1,2-dichloroethene",hexadecane,C(=C/Cl)\Cl,CCCCCCCCCCCCCCCC,-3.11
1197,trichloroethene,hexadecane,C(=C(Cl)Cl)Cl,CCCCCCCCCCCCCCCC,-4.08
1198,chlorobenzene,hexadecane,C1=CC=C(C=C1)Cl,CCCCCCCCCCCCCCCC,-4.99
1199,"1,2-dichlorobenzene",hexadecane,C1=CC=C(C(=C1)Cl)Cl,CCCCCCCCCCCCCCCC,-6.16
1200,"1,4-dichlorobenzene",hexadecane,C1=CC(=CC=C1Cl)Cl,CCCCCCCCCCCCCCCC,-6.02
1201,dibromomethane,hexadecane,C(Br)Br,CCCCCCCCCCCCCCCC,-3.94
1202,bromoform,hexadecane,C(Br)(Br)Br,CCCCCCCCCCCCCCCC,-5.16
1203,bromoethane,hexadecane,CCBr,CCCCCCCCCCCCCCCC,-2.89
1204,1-bromopropane,hexadecane,CCCBr,CCCCCCCCCCCCCCCC,-3.57
1205,2-bromopropane,hexadecane,CC(C)Br,CCCCCCCCCCCCCCCC,-3.26
1206,1-bromobutane,hexadecane,CCCCBr,CCCCCCCCCCCCCCCC,-4.24
1207,1-bromopentane,hexadecane,CCCCCBr,CCCCCCCCCCCCCCCC,-4.93
1208,bromobenzene,hexadecane,C1=CC=C(C=C1)Br,CCCCCCCCCCCCCCCC,-5.51
1209,"1-bromo-1-chloro-2,2,2-trifluoroethane",hexadecane,C(C(F)(F)F)(Cl)Br,CCCCCCCCCCCCCCCC,-2.97
1210,"1-bromo-1,2,2,2-tetrafluoroethane",hexadecane,C(C(F)(F)F)(F)Br,CCCCCCCCCCCCCCCC,-1.87
1211,tetrachloroethene,hexadecane,C(=C(Cl)Cl)(Cl)Cl,CCCCCCCCCCCCCCCC,-4.88
